year,origin,destin,id,dist,passen,fare,bmktshr,concen
1997,"AKRON, OH","ATLANTA, GA",1,528,152,106,0.8386,0.8386
1998,"AKRON, OH","ATLANTA, GA",1,528,265,106,0.8133,0.8133
1999,"AKRON, OH","ATLANTA, GA",1,528,336,113,0.8262,0.8262
2000,"AKRON, OH","ATLANTA, GA",1,528,298,123,0.8612,0.8612
1997,"AKRON, OH","ORLANDO, FL",2,861,282,104,0.5798,0.5798
1998,"AKRON, OH","ORLANDO, FL",2,861,178,105,0.5817,0.5817
1999,"AKRON, OH","ORLANDO, FL",2,861,204,115,0.7319,0.7319
2000,"AKRON, OH","ORLANDO, FL",2,861,190,129,0.5386,0.5386
1997,"ALBANY, NY","ATLANTA, GA",3,852,241,207,0.818,0.818
1998,"ALBANY, NY","ATLANTA, GA",3,852,253,188,0.8172,0.8172
1999,"ALBANY, NY","ATLANTA, GA",3,852,244,229,0.7998,0.7998
2000,"ALBANY, NY","ATLANTA, GA",3,852,244,247,0.7097,0.7097
1997,"ALBANY, NY","CHICAGO, IL",4,724,233,243,0.4604,0.4604
1998,"ALBANY, NY","CHICAGO, IL",4,724,248,226,0.4614,0.4614
1999,"ALBANY, NY","CHICAGO, IL",4,724,224,229,0.4334,0.4334
2000,"ALBANY, NY","CHICAGO, IL",4,724,339,176,0.3716,0.3716
1997,"ALBANY, NY","ORLANDO, FL",5,1073,396,119,0.4571,0.4571
1998,"ALBANY, NY","ORLANDO, FL",5,1073,529,105,0.5632,0.5632
1999,"ALBANY, NY","ORLANDO, FL",5,1073,494,121,0.5008,0.5008
2000,"ALBANY, NY","ORLANDO, FL",5,1073,710,109,0.5197,0.5197
1997,"ALBANY, NY","WASHINGTON, DC",6,318,237,181,0.91,0.91
1998,"ALBANY, NY","WASHINGTON, DC",6,318,213,197,0.9068,0.9068
1999,"ALBANY, NY","WASHINGTON, DC",6,318,209,190,0.9286,0.9286
2000,"ALBANY, NY","WASHINGTON, DC",6,318,163,171,0.9693,0.9693
1997,"ALBUQUERQUE, NM","ATLANTA, GA",7,1270,168,200,0.6695,0.6695
1998,"ALBUQUERQUE, NM","ATLANTA, GA",7,1270,185,218,0.7082,0.7082
1999,"ALBUQUERQUE, NM","ATLANTA, GA",7,1270,178,229,0.6714,0.6714
2000,"ALBUQUERQUE, NM","ATLANTA, GA",7,1270,197,220,0.6231,0.6231
1997,"ALBUQUERQUE, NM","AUSTIN, TX",8,614,173,134,0.5979,0.5979
1998,"ALBUQUERQUE, NM","AUSTIN, TX",8,614,157,153,0.635,0.635
1999,"ALBUQUERQUE, NM","AUSTIN, TX",8,614,176,145,0.5599,0.5599
2000,"ALBUQUERQUE, NM","AUSTIN, TX",8,614,192,161,0.642,0.642
1997,"ALBUQUERQUE, NM","BALTIMORE, MD",9,1673,200,149,0.2013,0.2013
1998,"ALBUQUERQUE, NM","BALTIMORE, MD",9,1673,194,155,0.2064,0.2064
1999,"ALBUQUERQUE, NM","BALTIMORE, MD",9,1673,214,162,0.2197,0.2197
2000,"ALBUQUERQUE, NM","BALTIMORE, MD",9,1673,310,152,0.2847,0.2847
1997,"ALBUQUERQUE, NM","BOSTON, MA",10,1976,171,271,0.2443,0.2443
1998,"ALBUQUERQUE, NM","BOSTON, MA",10,1976,155,242,0.2568,0.2568
1999,"ALBUQUERQUE, NM","BOSTON, MA",10,1976,173,221,0.2845,0.2845
2000,"ALBUQUERQUE, NM","BOSTON, MA",10,1976,187,214,0.3001,0.3001
1997,"ALBUQUERQUE, NM","CHICAGO, IL",11,1118,364,181,0.4522,0.4522
1998,"ALBUQUERQUE, NM","CHICAGO, IL",11,1118,374,182,0.4882,0.4882
1999,"ALBUQUERQUE, NM","CHICAGO, IL",11,1118,368,183,0.4113,0.4113
2000,"ALBUQUERQUE, NM","CHICAGO, IL",11,1118,383,188,0.4847,0.4847
1997,"ALBUQUERQUE, NM","DALLAS, TX",12,580,1244,97,0.6729,0.6729
1998,"ALBUQUERQUE, NM","DALLAS, TX",12,580,962,109,0.6530001,0.6530001
1999,"ALBUQUERQUE, NM","DALLAS, TX",12,580,980,110,0.6653,0.6653
2000,"ALBUQUERQUE, NM","DALLAS, TX",12,580,954,117,0.6883,0.6883
1997,"ALBUQUERQUE, NM","DENVER, CO",13,349,400,136,0.8253,0.8253
1998,"ALBUQUERQUE, NM","DENVER, CO",13,349,353,186,0.7903,0.7903
1999,"ALBUQUERQUE, NM","DENVER, CO",13,349,349,184,0.7999,0.7999
2000,"ALBUQUERQUE, NM","DENVER, CO",13,349,319,198,0.7192,0.7192
1997,"ALBUQUERQUE, NM","EL PASO, TX",14,223,278,68,0.792,0.792
1998,"ALBUQUERQUE, NM","EL PASO, TX",14,223,255,71,0.7787001,0.7787001
1999,"ALBUQUERQUE, NM","EL PASO, TX",14,223,255,72,0.8664,0.8664
2000,"ALBUQUERQUE, NM","EL PASO, TX",14,223,241,75,0.8465,0.8465
1997,"ALBUQUERQUE, NM","HOUSTON, TX",15,745,437,132,0.4942,0.4942
1998,"ALBUQUERQUE, NM","HOUSTON, TX",15,745,385,148,0.4745,0.4745
1999,"ALBUQUERQUE, NM","HOUSTON, TX",15,745,440,137,0.4952,0.4952
2000,"ALBUQUERQUE, NM","HOUSTON, TX",15,745,443,151,0.4931,0.4931
1997,"ALBUQUERQUE, NM","KANSAS CITY, MO",16,719,197,127,0.5813,0.5813
1998,"ALBUQUERQUE, NM","KANSAS CITY, MO",16,719,184,146,0.6698,0.6698
1999,"ALBUQUERQUE, NM","KANSAS CITY, MO",16,719,187,135,0.7471,0.7471
2000,"ALBUQUERQUE, NM","KANSAS CITY, MO",16,719,178,149,0.8061,0.8061
1997,"ALBUQUERQUE, NM","LAS VEGAS, NV",17,487,761,83,0.7117,0.7117
1998,"ALBUQUERQUE, NM","LAS VEGAS, NV",17,487,602,110,0.9228,0.9228
1999,"ALBUQUERQUE, NM","LAS VEGAS, NV",17,487,597,111,0.9234,0.9234
2000,"ALBUQUERQUE, NM","LAS VEGAS, NV",17,487,678,105,0.9279,0.9279
1997,"ALBUQUERQUE, NM","LOS ANGELES, CA",18,677,935,103,0.815,0.815
1998,"ALBUQUERQUE, NM","LOS ANGELES, CA",18,677,886,112,0.8047,0.8047
1999,"ALBUQUERQUE, NM","LOS ANGELES, CA",18,677,842,120,0.8728,0.8728
2000,"ALBUQUERQUE, NM","LOS ANGELES, CA",18,677,806,131,0.8754,0.8754
1997,"ALBUQUERQUE, NM","MINNEAPOLIS, MN",19,982,189,190,0.6841,0.6841
1998,"ALBUQUERQUE, NM","MINNEAPOLIS, MN",19,982,183,186,0.65,0.65
1999,"ALBUQUERQUE, NM","MINNEAPOLIS, MN",19,982,182,202,0.5695,0.5695
2000,"ALBUQUERQUE, NM","MINNEAPOLIS, MN",19,982,181,193,0.6575,0.6575
1997,"ALBUQUERQUE, NM","NEW YORK, NY",20,1817,441,224,0.2793,0.2793
1998,"ALBUQUERQUE, NM","NEW YORK, NY",20,1817,363,240,0.247,0.247
1999,"ALBUQUERQUE, NM","NEW YORK, NY",20,1817,317,265,0.2345,0.2345
2000,"ALBUQUERQUE, NM","NEW YORK, NY",20,1817,355,250,0.2948,0.2948
1997,"ALBUQUERQUE, NM","OAKLAND, CA",21,889,207,128,0.6642,0.6642
1998,"ALBUQUERQUE, NM","OAKLAND, CA",21,889,300,143,0.8355,0.8355
1999,"ALBUQUERQUE, NM","OAKLAND, CA",21,889,379,145,0.8802,0.8802
2000,"ALBUQUERQUE, NM","OAKLAND, CA",21,889,372,154,0.875,0.875
1997,"ALBUQUERQUE, NM","ONTARIO, CA",22,632,194,108,0.7625,0.7625
1998,"ALBUQUERQUE, NM","ONTARIO, CA",22,632,201,113,0.6856,0.6856
1999,"ALBUQUERQUE, NM","ONTARIO, CA",22,632,194,124,0.6518,0.6518
2000,"ALBUQUERQUE, NM","ONTARIO, CA",22,632,178,131,0.6583,0.6583
1997,"ALBUQUERQUE, NM","ORLANDO, FL",23,1554,200,134,0.552,0.552
1998,"ALBUQUERQUE, NM","ORLANDO, FL",23,1554,198,164,0.4992,0.4992
1999,"ALBUQUERQUE, NM","ORLANDO, FL",23,1554,194,158,0.4723,0.4723
2000,"ALBUQUERQUE, NM","ORLANDO, FL",23,1554,197,169,0.5633,0.5633
1997,"ALBUQUERQUE, NM","PHOENIX, AZ",24,328,1492,66,0.8163,0.8163
1998,"ALBUQUERQUE, NM","PHOENIX, AZ",24,328,1362,65,0.8335,0.8335
1999,"ALBUQUERQUE, NM","PHOENIX, AZ",24,328,1449,64,0.8277,0.8277
2000,"ALBUQUERQUE, NM","PHOENIX, AZ",24,328,1454,68,0.8254,0.8254
1997,"ALBUQUERQUE, NM","PORTLAND, OR",25,1113,189,144,0.3193,0.3193
1998,"ALBUQUERQUE, NM","PORTLAND, OR",25,1113,170,151,0.2922,0.2922
1999,"ALBUQUERQUE, NM","PORTLAND, OR",25,1113,187,153,0.3057,0.3057
2000,"ALBUQUERQUE, NM","PORTLAND, OR",25,1113,208,156,0.3159,0.3159
1997,"ALBUQUERQUE, NM","SALT LAKE CITY, UT",26,494,209,112,0.6531,0.6531
1998,"ALBUQUERQUE, NM","SALT LAKE CITY, UT",26,494,193,120,0.7086,0.7086
1999,"ALBUQUERQUE, NM","SALT LAKE CITY, UT",26,494,176,124,0.5034,0.5034
2000,"ALBUQUERQUE, NM","SALT LAKE CITY, UT",26,494,167,124,0.5098,0.5098
1997,"ALBUQUERQUE, NM","SAN ANTONIO, TX",27,610,183,137,0.7373,0.7373
1998,"ALBUQUERQUE, NM","SAN ANTONIO, TX",27,610,167,150,0.75,0.75
1999,"ALBUQUERQUE, NM","SAN ANTONIO, TX",27,610,177,144,0.606,0.606
2000,"ALBUQUERQUE, NM","SAN ANTONIO, TX",27,610,182,158,0.7534,0.7534
1997,"ALBUQUERQUE, NM","SAN DIEGO, CA",28,628,368,109,0.8444999,0.8444999
1998,"ALBUQUERQUE, NM","SAN DIEGO, CA",28,628,374,113,0.7525,0.7525
1999,"ALBUQUERQUE, NM","SAN DIEGO, CA",28,628,369,124,0.8114,0.8114
2000,"ALBUQUERQUE, NM","SAN DIEGO, CA",28,628,370,133,0.839,0.839
1997,"ALBUQUERQUE, NM","SAN FRANCISCO, CA",29,897,456,133,0.6877,0.6877
1998,"ALBUQUERQUE, NM","SAN FRANCISCO, CA",29,897,315,133,0.4232,0.4232
1999,"ALBUQUERQUE, NM","SAN FRANCISCO, CA",29,897,212,143,0.3455,0.3455
2000,"ALBUQUERQUE, NM","SAN FRANCISCO, CA",29,897,202,146,0.345,0.345
1997,"ALBUQUERQUE, NM","SAN JOSE, CA",30,871,224,136,0.5468,0.5468
1998,"ALBUQUERQUE, NM","SAN JOSE, CA",30,871,199,149,0.5647,0.5647
1999,"ALBUQUERQUE, NM","SAN JOSE, CA",30,871,206,151,0.5769,0.5769
2000,"ALBUQUERQUE, NM","SAN JOSE, CA",30,871,205,155,0.6163,0.6163
1997,"ALBUQUERQUE, NM","SEATTLE, WA",31,1181,252,149,0.2964,0.2964
1998,"ALBUQUERQUE, NM","SEATTLE, WA",31,1181,261,146,0.3508,0.3508
1999,"ALBUQUERQUE, NM","SEATTLE, WA",31,1181,284,150,0.4839,0.4839
2000,"ALBUQUERQUE, NM","SEATTLE, WA",31,1181,288,156,0.4917,0.4917
1997,"ALBUQUERQUE, NM","ST. LOUIS, MO",32,935,150,132,0.6216,0.6216
1998,"ALBUQUERQUE, NM","ST. LOUIS, MO",32,935,164,149,0.6753,0.6753
1999,"ALBUQUERQUE, NM","ST. LOUIS, MO",32,935,158,150,0.5912,0.5912
2000,"ALBUQUERQUE, NM","ST. LOUIS, MO",32,935,165,156,0.5687,0.5687
1997,"ALBUQUERQUE, NM","WASHINGTON, DC",33,1648,411,183,0.3682,0.3682
1998,"ALBUQUERQUE, NM","WASHINGTON, DC",33,1648,395,173,0.3583,0.3583
1999,"ALBUQUERQUE, NM","WASHINGTON, DC",33,1648,390,196,0.2932,0.2932
2000,"ALBUQUERQUE, NM","WASHINGTON, DC",33,1648,337,226,0.4041,0.4041
1997,"ALLENTOWN, PA","CHICAGO, IL",34,655,157,274,0.8678,0.8678
1998,"ALLENTOWN, PA","CHICAGO, IL",34,655,156,245,0.891,0.891
1999,"ALLENTOWN, PA","CHICAGO, IL",34,655,131,270,0.8455999,0.8455999
2000,"ALLENTOWN, PA","CHICAGO, IL",34,655,138,295,0.8349,0.8349
1997,"ALLENTOWN, PA","ORLANDO, FL",35,907,346,111,0.5253,0.5253
1998,"ALLENTOWN, PA","ORLANDO, FL",35,907,222,115,0.6242,0.6242
1999,"ALLENTOWN, PA","ORLANDO, FL",35,907,407,114,0.4853,0.4853
2000,"ALLENTOWN, PA","ORLANDO, FL",35,907,490,118,0.5708,0.5708
1997,"AMARILLO, TX","AUSTIN, TX",36,412,151,109,0.899,0.899
1998,"AMARILLO, TX","AUSTIN, TX",36,412,141,119,0.8879,0.8879
1999,"AMARILLO, TX","AUSTIN, TX",36,412,148,118,0.8875,0.8875
2000,"AMARILLO, TX","AUSTIN, TX",36,412,147,122,0.8835,0.8835
1997,"AMARILLO, TX","DALLAS, TX",37,324,816,67,0.73,0.73
1998,"AMARILLO, TX","DALLAS, TX",37,324,785,70,0.7176,0.7176
1999,"AMARILLO, TX","DALLAS, TX",37,324,776,70,0.7731,0.7731
2000,"AMARILLO, TX","DALLAS, TX",37,324,729,72,0.7715,0.7715
1997,"AMARILLO, TX","HOUSTON, TX",38,535,242,110,0.8877,0.8877
1998,"AMARILLO, TX","HOUSTON, TX",38,535,244,117,0.665,0.665
1999,"AMARILLO, TX","HOUSTON, TX",38,535,256,115,0.6664,0.6664
2000,"AMARILLO, TX","HOUSTON, TX",38,535,272,121,0.5918,0.5918
1997,"AMARILLO, TX","LAS VEGAS, NV",39,759,157,98,0.9729,0.9729
1998,"AMARILLO, TX","LAS VEGAS, NV",39,759,159,117,0.9671,0.9671
1999,"AMARILLO, TX","LAS VEGAS, NV",39,759,169,117,0.9807,0.9807
2000,"AMARILLO, TX","LAS VEGAS, NV",39,759,161,124,0.9561,0.9561
1997,"ASPEN, CO","DENVER, CO",40,125,102,123,0.9107,0.9107
1998,"ASPEN, CO","DENVER, CO",40,125,101,127,0.9055001,0.9055001
1999,"ASPEN, CO","DENVER, CO",40,125,101,130,0.9989,0.9989
2000,"ASPEN, CO","DENVER, CO",40,125,87,158,0.9962,0.9962
1997,"ATLANTA, GA","AUSTIN, TX",41,812,318,207,0.7507,0.7507
1998,"ATLANTA, GA","AUSTIN, TX",41,812,349,207,0.7481,0.7481
1999,"ATLANTA, GA","AUSTIN, TX",41,812,375,224,0.7374,0.7374
2000,"ATLANTA, GA","AUSTIN, TX",41,812,415,248,0.6897,0.6897
1997,"ATLANTA, GA","BALTIMORE, MD",42,576,1065,167,0.6135,0.6135
1998,"ATLANTA, GA","BALTIMORE, MD",42,576,837,189,0.9011,0.9011
1999,"ATLANTA, GA","BALTIMORE, MD",42,576,1187,132,0.7122,0.7122
2000,"ATLANTA, GA","BALTIMORE, MD",42,576,1268,173,0.6162,0.6162
1997,"ATLANTA, GA","BATON ROUGE, LA",43,449,155,173,0.9008,0.9008
1998,"ATLANTA, GA","BATON ROUGE, LA",43,449,178,152,0.9058,0.9058
1999,"ATLANTA, GA","BATON ROUGE, LA",43,449,183,143,0.9331,0.9331
2000,"ATLANTA, GA","BATON ROUGE, LA",43,449,156,185,0.921,0.921
1997,"ATLANTA, GA","BOSTON, MA",44,946,1622,237,0.7173001,0.7173001
1998,"ATLANTA, GA","BOSTON, MA",44,946,1981,163,0.7888,0.7888
1999,"ATLANTA, GA","BOSTON, MA",44,946,2421,134,0.7076,0.7076
2000,"ATLANTA, GA","BOSTON, MA",44,946,2188,177,0.7487,0.7487
1997,"ATLANTA, GA","BUFFALO, NY",45,712,252,185,0.8295,0.8295
1998,"ATLANTA, GA","BUFFALO, NY",45,712,410,119,0.5845,0.5845
1999,"ATLANTA, GA","BUFFALO, NY",45,712,561,100,0.5433,0.5433
2000,"ATLANTA, GA","BUFFALO, NY",45,712,547,115,0.5087,0.5087
1997,"ATLANTA, GA","CHARLESTON, SC",46,259,241,178,0.9526,0.9526
1998,"ATLANTA, GA","CHARLESTON, SC",46,259,250,178,0.9591,0.9591
1999,"ATLANTA, GA","CHARLESTON, SC",46,259,232,205,0.9654,0.9654
2000,"ATLANTA, GA","CHARLESTON, SC",46,259,206,218,0.9614,0.9614
1997,"ATLANTA, GA","CHARLOTTE, NC",47,227,783,123,0.5523,0.5523
1998,"ATLANTA, GA","CHARLOTTE, NC",47,227,633,183,0.6853,0.6853
1999,"ATLANTA, GA","CHARLOTTE, NC",47,227,554,211,0.7024,0.7024
2000,"ATLANTA, GA","CHARLOTTE, NC",47,227,513,250,0.6904,0.6904
1997,"ATLANTA, GA","CHICAGO, IL",48,605,3369,125,0.4567,0.4567
1998,"ATLANTA, GA","CHICAGO, IL",48,605,3826,123,0.4608,0.4608
1999,"ATLANTA, GA","CHICAGO, IL",48,605,3599,133,0.4915,0.4915
2000,"ATLANTA, GA","CHICAGO, IL",48,605,3415,173,0.4592,0.4592
1997,"ATLANTA, GA","CINCINNATI, OH",49,373,400,269,0.9552,0.9552
1998,"ATLANTA, GA","CINCINNATI, OH",49,373,454,229,0.9676999,0.9676999
1999,"ATLANTA, GA","CINCINNATI, OH",49,373,410,252,0.9595,0.9595
2000,"ATLANTA, GA","CINCINNATI, OH",49,373,508,216,0.9568,0.9568
1997,"ATLANTA, GA","CLEVELAND, OH",50,554,857,121,0.5072,0.5072
1998,"ATLANTA, GA","CLEVELAND, OH",50,554,714,153,0.5195,0.5195
1999,"ATLANTA, GA","CLEVELAND, OH",50,554,683,184,0.4863,0.4863
2000,"ATLANTA, GA","CLEVELAND, OH",50,554,616,197,0.5367,0.5367
1997,"ATLANTA, GA","CO SPRINGS, CO",51,1186,186,174,0.7235,0.7235
1998,"ATLANTA, GA","CO SPRINGS, CO",51,1186,132,237,0.668,0.668
1999,"ATLANTA, GA","CO SPRINGS, CO",51,1186,151,210,0.6144,0.6144
2000,"ATLANTA, GA","CO SPRINGS, CO",51,1186,170,205,0.7328,0.7328
1997,"ATLANTA, GA","COLUMBIA, SC",52,191,129,209,0.9806,0.9806
1998,"ATLANTA, GA","COLUMBIA, SC",52,191,110,221,0.9763,0.9763
1999,"ATLANTA, GA","COLUMBIA, SC",52,191,94,231,0.9804,0.9804
2000,"ATLANTA, GA","COLUMBIA, SC",52,191,78,259,0.9676999,0.9676999
1997,"ATLANTA, GA","COLUMBUS, OH",53,446,582,165,0.89,0.89
1998,"ATLANTA, GA","COLUMBUS, OH",53,446,523,179,0.9399,0.9399
1999,"ATLANTA, GA","COLUMBUS, OH",53,446,483,200,0.9112,0.9112
2000,"ATLANTA, GA","COLUMBUS, OH",53,446,450,206,0.8647,0.8647
1997,"ATLANTA, GA","DALLAS, TX",54,732,2621,133,0.5136,0.5136
1998,"ATLANTA, GA","DALLAS, TX",54,732,2683,144,0.4758,0.4758
1999,"ATLANTA, GA","DALLAS, TX",54,732,2709,143,0.4853,0.4853
2000,"ATLANTA, GA","DALLAS, TX",54,732,2644,189,0.4768,0.4768
1997,"ATLANTA, GA","DAYTON, OH",55,432,280,190,0.9111,0.9111
1998,"ATLANTA, GA","DAYTON, OH",55,432,521,112,0.6831,0.6831
1999,"ATLANTA, GA","DAYTON, OH",55,432,584,119,0.6594,0.6594
2000,"ATLANTA, GA","DAYTON, OH",55,432,642,116,0.6275,0.6275
1997,"ATLANTA, GA","DENVER, CO",56,1199,1154,168,0.4066,0.4066
1998,"ATLANTA, GA","DENVER, CO",56,1199,1059,254,0.4096,0.4096
1999,"ATLANTA, GA","DENVER, CO",56,1199,1158,215,0.4033,0.4033
2000,"ATLANTA, GA","DENVER, CO",56,1199,1303,221,0.4913,0.4913
1997,"ATLANTA, GA","DETROIT, MI",57,594,1252,120,0.5216,0.5216
1998,"ATLANTA, GA","DETROIT, MI",57,594,1421,109,0.4788,0.4788
1999,"ATLANTA, GA","DETROIT, MI",57,594,1549,115,0.4759,0.4759
2000,"ATLANTA, GA","DETROIT, MI",57,594,1415,132,0.4909,0.4909
1997,"ATLANTA, GA","FLINT, MI",58,644,115,110,0.7566,0.7566
